dataset,sequence,camera,frame_id,image_path,timestamp_seconds,x,y,z
KITTI_odometry,05,image_0,000076,sequences/05/image_0/000076.png,7.920378,-1.649241,-1.501927,69.43492
KITTI_odometry,05,image_0,000077,sequences/05/image_0/000077.png,8.024607,-1.673162,-1.522851,70.52233
KITTI_odometry,05,image_0,000078,sequences/05/image_0/000078.png,8.128736,-1.69757,-1.542287,71.60597
KITTI_odometry,05,image_0,000079,sequences/05/image_0/000079.png,8.232862,-1.724041,-1.56643,72.68959
KITTI_odometry,05,image_0,000080,sequences/05/image_0/000080.png,8.336986,-1.754602,-1.593458,73.76891
KITTI_odometry,05,image_0,000081,sequences/05/image_0/000081.png,8.441112,-1.784427,-1.618953,74.84293
KITTI_odometry,05,image_0,000082,sequences/05/image_0/000082.png,8.545359,-1.818016,-1.644073,75.91173
KITTI_odometry,05,image_0,000083,sequences/05/image_0/000083.png,8.649487,-1.852271,-1.670698,76.98007
KITTI_odometry,05,image_0,000084,sequences/05/image_0/000084.png,8.753612,-1.892754,-1.702097,78.04464
KITTI_odometry,05,image_0,000085,sequences/05/image_0/000085.png,8.857735,-1.931694,-1.731655,79.11497
KITTI_odometry,05,image_0,000086,sequences/05/image_0/000086.png,8.96186,-1.971601,-1.759353,80.18037
KITTI_odometry,05,image_0,000087,sequences/05/image_0/000087.png,9.065987,-2.009246,-1.780033,81.241
KITTI_odometry,05,image_0,000088,sequences/05/image_0/000088.png,9.170238,-2.046091,-1.79845,82.29562
KITTI_odometry,05,image_0,000089,sequences/05/image_0/000089.png,9.27436,-2.082196,-1.819154,83.3426
KITTI_odometry,05,image_0,000090,sequences/05/image_0/000090.png,9.378487,-2.118145,-1.83635,84.38146
KITTI_odometry,05,image_0,000091,sequences/05/image_0/000091.png,9.48261,-2.152257,-1.854735,85.40636
KITTI_odometry,05,image_0,000092,sequences/05/image_0/000092.png,9.586735,-2.187213,-1.871238,86.41716
KITTI_odometry,05,image_0,000093,sequences/05/image_0/000093.png,9.690863,-2.224921,-1.889129,87.4107
KITTI_odometry,05,image_0,000094,sequences/05/image_0/000094.png,9.794986,-2.262425,-1.90777,88.38264
KITTI_odometry,05,image_0,000095,sequences/05/image_0/000095.png,9.899109,-2.303693,-1.929486,89.33531
KITTI_odometry,05,image_0,000096,sequences/05/image_0/000096.png,10.00337,-2.344772,-1.950966,90.26556
KITTI_odometry,05,image_0,000097,sequences/05/image_0/000097.png,10.10749,-2.390135,-1.972736,91.17072
KITTI_odometry,05,image_0,000098,sequences/05/image_0/000098.png,10.21161,-2.434745,-1.993637,92.05518
KITTI_odometry,05,image_0,000099,sequences/05/image_0/000099.png,10.31574,-2.486719,-2.021957,92.91577
KITTI_odometry,05,image_0,000100,sequences/05/image_0/000100.png,10.41989,-2.538278,-2.044394,93.75397
KITTI_odometry,05,image_0,000101,sequences/05/image_0/000101.png,10.52411,-2.594376,-2.066115,94.56706
KITTI_odometry,05,image_0,000102,sequences/05/image_0/000102.png,10.62824,-2.649588,-2.083333,95.35206
KITTI_odometry,05,image_0,000103,sequences/05/image_0/000103.png,10.73249,-2.709824,-2.104835,96.1106
KITTI_odometry,05,image_0,000104,sequences/05/image_0/000104.png,10.83661,-2.76931,-2.127247,96.83647
KITTI_odometry,05,image_0,000105,sequences/05/image_0/000105.png,10.94086,-2.827593,-2.149905,97.53308
KITTI_odometry,05,image_0,000106,sequences/05/image_0/000106.png,11.04501,-2.885302,-2.169614,98.19683
KITTI_odometry,05,image_0,000107,sequences/05/image_0/000107.png,11.14924,-2.940577,-2.192789,98.83274
KITTI_odometry,05,image_0,000108,sequences/05/image_0/000108.png,11.25349,-2.992555,-2.21765,99.43737
KITTI_odometry,05,image_0,000109,sequences/05/image_0/000109.png,11.35776,-3.043655,-2.242127,100.02
KITTI_odometry,05,image_0,000110,sequences/05/image_0/000110.png,11.46211,-3.092267,-2.268333,100.5818
KITTI_odometry,05,image_0,000111,sequences/05/image_0/000111.png,11.56636,-3.132396,-2.291455,101.1196
KITTI_odometry,05,image_0,000112,sequences/05/image_0/000112.png,11.67074,-3.162399,-2.311035,101.6363
KITTI_odometry,05,image_0,000113,sequences/05/image_0/000113.png,11.77511,-3.182492,-2.327168,102.1306
KITTI_odometry,05,image_0,000114,sequences/05/image_0/000114.png,11.87937,-3.196722,-2.349063,102.6043
KITTI_odometry,05,image_0,000115,sequences/05/image_0/000115.png,11.98386,-3.201967,-2.369031,103.0549
KITTI_odometry,05,image_0,000116,sequences/05/image_0/000116.png,12.08824,-3.198184,-2.391847,103.4865
KITTI_odometry,05,image_0,000117,sequences/05/image_0/000117.png,12.19274,-3.182672,-2.410045,103.9074
KITTI_odometry,05,image_0,000118,sequences/05/image_0/000118.png,12.29711,-3.156876,-2.43259,104.3189
KITTI_odometry,05,image_0,000119,sequences/05/image_0/000119.png,12.40164,-3.116159,-2.449486,104.719
KITTI_odometry,05,image_0,000120,sequences/05/image_0/000120.png,12.50612,-3.061832,-2.472039,105.1162
KITTI_odometry,05,image_0,000121,sequences/05/image_0/000121.png,12.61074,-2.993908,-2.487673,105.4984
KITTI_odometry,05,image_0,000122,sequences/05/image_0/000122.png,12.71524,-2.911418,-2.507487,105.8778
KITTI_odometry,05,image_0,000123,sequences/05/image_0/000123.png,12.81986,-2.813888,-2.526594,106.2405
KITTI_odometry,05,image_0,000124,sequences/05/image_0/000124.png,12.92437,-2.699437,-2.548585,106.6027
KITTI_odometry,05,image_0,000125,sequences/05/image_0/000125.png,13.02886,-2.570785,-2.565421,106.9444
KITTI_odometry,05,image_0,000126,sequences/05/image_0/000126.png,13.13336,-2.431748,-2.585374,107.2854
KITTI_odometry,05,image_0,000127,sequences/05/image_0/000127.png,13.23788,-2.279365,-2.60108,107.6167
KITTI_odometry,05,image_0,000128,sequences/05/image_0/000128.png,13.34237,-2.109387,-2.615943,107.9269
KITTI_odometry,05,image_0,000129,sequences/05/image_0/000129.png,13.44674,-1.921488,-2.628863,108.2346
KITTI_odometry,05,image_0,000130,sequences/05/image_0/000130.png,13.55124,-1.720225,-2.64191,108.5153
KITTI_odometry,05,image_0,000131,sequences/05/image_0/000131.png,13.65561,-1.50675,-2.655967,108.7943
KITTI_odometry,05,image_0,000132,sequences/05/image_0/000132.png,13.76001,-1.282825,-2.670469,109.0496
KITTI_odometry,05,image_0,000133,sequences/05/image_0/000133.png,13.86436,-1.047012,-2.682863,109.3104
KITTI_odometry,05,image_0,000134,sequences/05/image_0/000134.png,13.96874,-0.7972273,-2.691906,109.5491
KITTI_odometry,05,image_0,000135,sequences/05/image_0/000135.png,14.07312,-0.5307156,-2.699185,109.791
KITTI_odometry,05,image_0,000136,sequences/05/image_0/000136.png,14.17749,-0.2466359,-2.712112,110.0156
KITTI_odometry,05,image_0,000137,sequences/05/image_0/000137.png,14.28178,0.05578371,-2.723636,110.2064
KITTI_odometry,05,image_0,000138,sequences/05/image_0/000138.png,14.38612,0.3744581,-2.732922,110.404
KITTI_odometry,05,image_0,000139,sequences/05/image_0/000139.png,14.49049,0.7051086,-2.741477,110.5684
KITTI_odometry,05,image_0,000140,sequences/05/image_0/000140.png,14.59474,1.049532,-2.753607,110.7304
KITTI_odometry,05,image_0,000141,sequences/05/image_0/000141.png,14.69911,1.408134,-2.764267,110.8567
KITTI_odometry,05,image_0,000142,sequences/05/image_0/000142.png,14.80337,1.774099,-2.777327,110.9879
KITTI_odometry,05,image_0,000143,sequences/05/image_0/000143.png,14.90761,2.148919,-2.788461,111.1029
KITTI_odometry,05,image_0,000144,sequences/05/image_0/000144.png,15.01199,2.533142,-2.796272,111.1851
KITTI_odometry,05,image_0,000145,sequences/05/image_0/000145.png,15.11614,2.934626,-2.806532,111.2656
KITTI_odometry,05,image_0,000146,sequences/05/image_0/000146.png,15.22024,3.350702,-2.818457,111.3182
KITTI_odometry,05,image_0,000147,sequences/05/image_0/000147.png,15.32424,3.783818,-2.829807,111.3644
KITTI_odometry,05,image_0,000148,sequences/05/image_0/000148.png,15.42812,4.227266,-2.840259,111.4023
KITTI_odometry,05,image_0,000149,sequences/05/image_0/000149.png,15.53212,4.690755,-2.856964,111.447
KITTI_odometry,05,image_0,000150,sequences/05/image_0/000150.png,15.63601,5.173439,-2.871679,111.4895
KITTI_odometry,05,image_0,000151,sequences/05/image_0/000151.png,15.73989,5.672652,-2.886056,111.5178
KITTI_odometry,05,image_0,000152,sequences/05/image_0/000152.png,15.84387,6.192944,-2.902144,111.5272
KITTI_odometry,05,image_0,000153,sequences/05/image_0/000153.png,15.94776,6.728517,-2.917163,111.5183
KITTI_odometry,05,image_0,000154,sequences/05/image_0/000154.png,16.05174,7.282318,-2.930539,111.5004
KITTI_odometry,05,image_0,000155,sequences/05/image_0/000155.png,16.15571,7.855335,-2.935743,111.4905
KITTI_odometry,05,image_0,000156,sequences/05/image_0/000156.png,16.25953,8.447661,-2.943016,111.4822
KITTI_odometry,05,image_0,000157,sequences/05/image_0/000157.png,16.36339,9.065751,-2.953427,111.4624
KITTI_odometry,05,image_0,000158,sequences/05/image_0/000158.png,16.46712,9.708447,-2.966443,111.4331
KITTI_odometry,05,image_0,000159,sequences/05/image_0/000159.png,16.57099,10.36534,-2.980253,111.4116
KITTI_odometry,05,image_0,000160,sequences/05/image_0/000160.png,16.67485,11.04173,-2.993917,111.3977
KITTI_odometry,05,image_0,000161,sequences/05/image_0/000161.png,16.77864,11.7305,-3.009754,111.3912
KITTI_odometry,05,image_0,000162,sequences/05/image_0/000162.png,16.88261,12.44057,-3.02098,111.3766
KITTI_odometry,05,image_0,000163,sequences/05/image_0/000163.png,16.98649,13.16355,-3.034345,111.3612
KITTI_odometry,05,image_0,000164,sequences/05/image_0/000164.png,17.09049,13.9022,-3.051223,111.3451
KITTI_odometry,05,image_0,000165,sequences/05/image_0/000165.png,17.19462,14.65827,-3.072877,111.3363
KITTI_odometry,05,image_0,000166,sequences/05/image_0/000166.png,17.29862,15.42377,-3.095311,111.324
KITTI_odometry,05,image_0,000167,sequences/05/image_0/000167.png,17.40274,16.20084,-3.118178,111.3091
KITTI_odometry,05,image_0,000168,sequences/05/image_0/000168.png,17.50674,16.98099,-3.141006,111.2943
KITTI_odometry,05,image_0,000169,sequences/05/image_0/000169.png,17.61087,17.76747,-3.160636,111.276
KITTI_odometry,05,image_0,000170,sequences/05/image_0/000170.png,17.715,18.56541,-3.176463,111.2519
KITTI_odometry,05,image_0,000171,sequences/05/image_0/000171.png,17.81912,19.37151,-3.193647,111.2251
KITTI_odometry,05,image_0,000172,sequences/05/image_0/000172.png,17.92337,20.18791,-3.214056,111.2066
KITTI_odometry,05,image_0,000173,sequences/05/image_0/000173.png,18.02749,21.00565,-3.232298,111.189
KITTI_odometry,05,image_0,000174,sequences/05/image_0/000174.png,18.13162,21.82752,-3.250815,111.1686
KITTI_odometry,05,image_0,000175,sequences/05/image_0/000175.png,18.23576,22.65838,-3.273148,111.1497
KITTI_odometry,05,image_0,000176,sequences/05/image_0/000176.png,18.33987,23.49682,-3.298255,111.1374
KITTI_odometry,05,image_0,000177,sequences/05/image_0/000177.png,18.444,24.33823,-3.326366,111.128
KITTI_odometry,05,image_0,000178,sequences/05/image_0/000178.png,18.54825,25.18208,-3.350402,111.111
KITTI_odometry,05,image_0,000179,sequences/05/image_0/000179.png,18.65237,26.02725,-3.370419,111.0993
KITTI_odometry,05,image_0,000180,sequences/05/image_0/000180.png,18.7565,26.86546,-3.392421,111.0866
KITTI_odometry,05,image_0,000181,sequences/05/image_0/000181.png,18.86074,27.69648,-3.417654,111.0665
KITTI_odometry,05,image_0,000182,sequences/05/image_0/000182.png,18.9649,28.51752,-3.439638,111.0417
KITTI_odometry,05,image_0,000183,sequences/05/image_0/000183.png,19.06912,29.34025,-3.464646,111.0185
KITTI_odometry,05,image_0,000184,sequences/05/image_0/000184.png,19.17327,30.17178,-3.494748,110.9962
KITTI_odometry,05,image_0,000185,sequences/05/image_0/000185.png,19.2775,31.00291,-3.524637,110.9727
KITTI_odometry,05,image_0,000186,sequences/05/image_0/000186.png,19.3818,31.82438,-3.550386,110.9495
KITTI_odometry,05,image_0,000187,sequences/05/image_0/000187.png,19.48591,32.63728,-3.574008,110.931
KITTI_odometry,05,image_0,000188,sequences/05/image_0/000188.png,19.59034,33.44955,-3.59738,110.9148
KITTI_odometry,05,image_0,000189,sequences/05/image_0/000189.png,19.69439,34.25559,-3.619497,110.8957
KITTI_odometry,05,image_0,000190,sequences/05/image_0/000190.png,19.79865,35.05969,-3.643377,110.8735
KITTI_odometry,05,image_0,000191,sequences/05/image_0/000191.png,19.90293,35.85953,-3.668997,110.8521
KITTI_odometry,05,image_0,000192,sequences/05/image_0/000192.png,20.00713,36.65572,-3.692321,110.8323
KITTI_odometry,05,image_0,000193,sequences/05/image_0/000193.png,20.11141,37.4503,-3.713275,110.8119
KITTI_odometry,05,image_0,000194,sequences/05/image_0/000194.png,20.21566,38.24062,-3.739393,110.7877
KITTI_odometry,05,image_0,000195,sequences/05/image_0/000195.png,20.31999,39.02353,-3.76436,110.7603
KITTI_odometry,05,image_0,000196,sequences/05/image_0/000196.png,20.42461,39.80437,-3.788915,110.7309
KITTI_odometry,05,image_0,000197,sequences/05/image_0/000197.png,20.52859,40.57553,-3.8113,110.6977
KITTI_odometry,05,image_0,000198,sequences/05/image_0/000198.png,20.63312,41.34827,-3.834868,110.6618
KITTI_odometry,05,image_0,000199,sequences/05/image_0/000199.png,20.73749,42.11586,-3.860486,110.626
KITTI_odometry,05,image_0,000200,sequences/05/image_0/000200.png,20.84131,42.87606,-3.885455,110.5935
KITTI_odometry,05,image_0,000201,sequences/05/image_0/000201.png,20.94551,43.62563,-3.908535,110.5634
KITTI_odometry,05,image_0,000202,sequences/05/image_0/000202.png,21.04975,44.35901,-3.927506,110.5329
KITTI_odometry,05,image_0,000203,sequences/05/image_0/000203.png,21.15399,45.07372,-3.947128,110.5025
KITTI_odometry,05,image_0,000204,sequences/05/image_0/000204.png,21.25828,45.7787,-3.968246,110.4722
KITTI_odometry,05,image_0,000205,sequences/05/image_0/000205.png,21.36252,46.47919,-3.990288,110.4407
KITTI_odometry,05,image_0,000206,sequences/05/image_0/000206.png,21.46685,47.17652,-4.011755,110.4123
KITTI_odometry,05,image_0,000207,sequences/05/image_0/000207.png,21.57101,47.87113,-4.034285,110.3817
KITTI_odometry,05,image_0,000208,sequences/05/image_0/000208.png,21.67551,48.56561,-4.055339,110.3479
KITTI_odometry,05,image_0,000209,sequences/05/image_0/000209.png,21.77963,49.254,-4.074607,110.3152
KITTI_odometry,05,image_0,000210,sequences/05/image_0/000210.png,21.88389,49.93953,-4.093812,110.2891
KITTI_odometry,05,image_0,000211,sequences/05/image_0/000211.png,21.98856,50.62365,-4.114385,110.2629
KITTI_odometry,05,image_0,000212,sequences/05/image_0/000212.png,22.09253,51.29886,-4.131756,110.2291
KITTI_odometry,05,image_0,000213,sequences/05/image_0/000213.png,22.19678,51.97172,-4.148661,110.1946
KITTI_odometry,05,image_0,000214,sequences/05/image_0/000214.png,22.30121,52.64111,-4.167844,110.1638
KITTI_odometry,05,image_0,000215,sequences/05/image_0/000215.png,22.40541,53.30677,-4.188031,110.132
KITTI_odometry,05,image_0,000216,sequences/05/image_0/000216.png,22.50977,53.9664,-4.204714,110.0844
KITTI_odometry,05,image_0,000217,sequences/05/image_0/000217.png,22.61414,54.62746,-4.221113,110.0294
KITTI_odometry,05,image_0,000218,sequences/05/image_0/000218.png,22.71892,55.29672,-4.239741,109.9758
KITTI_odometry,05,image_0,000219,sequences/05/image_0/000219.png,22.82268,55.96874,-4.25974,109.9227
KITTI_odometry,05,image_0,000220,sequences/05/image_0/000220.png,22.92691,56.64512,-4.283061,109.8596
KITTI_odometry,05,image_0,000221,sequences/05/image_0/000221.png,23.03126,57.3246,-4.30533,109.792
KITTI_odometry,05,image_0,000222,sequences/05/image_0/000222.png,23.13572,58.01252,-4.323997,109.7249
KITTI_odometry,05,image_0,000223,sequences/05/image_0/000223.png,23.23966,58.70923,-4.342226,109.6525
KITTI_odometry,05,image_0,000224,sequences/05/image_0/000224.png,23.34394,59.4186,-4.360434,109.5755
KITTI_odometry,05,image_0,000225,sequences/05/image_0/000225.png,23.44815,60.14241,-4.377079,109.5029
KITTI_odometry,05,image_0,000226,sequences/05/image_0/000226.png,23.55238,60.86806,-4.390954,109.4297
KITTI_odometry,05,image_0,000227,sequences/05/image_0/000227.png,23.65651,61.59653,-4.404393,109.3511
KITTI_odometry,05,image_0,000228,sequences/05/image_0/000228.png,23.76076,62.32941,-4.420348,109.2651
KITTI_odometry,05,image_0,000229,sequences/05/image_0/000229.png,23.865,63.06998,-4.438119,109.1742
KITTI_odometry,05,image_0,000230,sequences/05/image_0/000230.png,23.96926,63.81462,-4.456517,109.091
KITTI_odometry,05,image_0,000231,sequences/05/image_0/000231.png,24.07343,64.56343,-4.476878,109.0137
KITTI_odometry,05,image_0,000232,sequences/05/image_0/000232.png,24.17766,65.31557,-4.499677,108.9344
KITTI_odometry,05,image_0,000233,sequences/05/image_0/000233.png,24.28189,66.05966,-4.57986,108.8574
KITTI_odometry,05,image_0,000234,sequences/05/image_0/000234.png,24.38617,66.80584,-4.708747,108.7907
KITTI_odometry,05,image_0,000235,sequences/05/image_0/000235.png,24.49041,67.54618,-4.789634,108.7201
KITTI_odometry,05,image_0,000236,sequences/05/image_0/000236.png,24.59463,68.28567,-4.884585,108.6478
KITTI_odometry,05,image_0,000237,sequences/05/image_0/000237.png,24.69888,69.02479,-4.946543,108.5668
KITTI_odometry,05,image_0,000238,sequences/05/image_0/000238.png,24.80313,69.77011,-5.019805,108.4826
KITTI_odometry,05,image_0,000239,sequences/05/image_0/000239.png,24.90738,70.51938,-5.07247,108.3983
KITTI_odometry,05,image_0,000240,sequences/05/image_0/000240.png,25.01202,71.27406,-5.125756,108.316
KITTI_odometry,05,image_0,000241,sequences/05/image_0/000241.png,25.11597,72.02772,-5.16964,108.2285
KITTI_odometry,05,image_0,000242,sequences/05/image_0/000242.png,25.22015,72.78695,-5.215003,108.1439
KITTI_odometry,05,image_0,000243,sequences/05/image_0/000243.png,25.32443,73.55163,-5.250965,108.0563
KITTI_odometry,05,image_0,000244,sequences/05/image_0/000244.png,25.42874,74.32302,-5.288827,107.9665
KITTI_odometry,05,image_0,000245,sequences/05/image_0/000245.png,25.53289,75.09805,-5.322302,107.8742
KITTI_odometry,05,image_0,000246,sequences/05/image_0/000246.png,25.63714,75.87891,-5.352632,107.783
KITTI_odometry,05,image_0,000247,sequences/05/image_0/000247.png,25.74141,76.66362,-5.383553,107.6848
KITTI_odometry,05,image_0,000248,sequences/05/image_0/000248.png,25.84577,77.45431,-5.407645,107.5825
KITTI_odometry,05,image_0,000249,sequences/05/image_0/000249.png,25.95003,78.24938,-5.427471,107.4828
KITTI_odometry,05,image_0,000250,sequences/05/image_0/000250.png,26.05425,79.0466,-5.449247,107.3781
KITTI_odometry,05,image_0,000251,sequences/05/image_0/000251.png,26.15853,79.84877,-5.474046,107.2685
KITTI_odometry,05,image_0,000252,sequences/05/image_0/000252.png,26.2628,80.65616,-5.497261,107.1591
